[Sat May 24 14:22:55 2025] Waiting for activation...
[Sat May 24 14:22:55 2025] Ativado!
[Sat May 24 14:22:55 2025] State machine creation...
[Sat May 24 14:22:55 2025] Connected to Pixhawk
[Sat May 24 14:22:58 2025] Finding systems...
[Sat May 24 14:22:58 2025] Object YoloCtrl created.
[Sat May 24 14:22:58 2025] Threads initialization...
[Sat May 24 14:22:58 2025] Threads initialized
[Sat May 24 14:22:58 2025] Listening messages...
[Sat May 24 14:22:58 2025] State Machine created
[Sat May 24 14:23:36 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:37 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:37 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:37 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:38 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:38 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:38 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:39 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:39 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:39 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:40 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:40 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:40 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:41 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:41 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:42 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:42 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:42 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:43 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:43 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:43 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:44 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:44 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:44 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:45 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:45 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:45 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:46 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:46 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:46 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:47 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:47 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:47 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:48 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:48 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:49 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:49 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:49 2025] Action: TURNLEFT, Power: 36
